Month,DayOfWeek,IsHoliday,Temperature,Humidity,SquareFootArea,Occupancy,HVACUsage,LightingUsage,RenewableEnergy,DailyConsumption_kWh,MonthlyConsumption_kWh
7,6,0,35.7,68.5,5000,6,6.4,4.6,0.0,61.22,1935.22
4,3,0,27.3,21.2,2200,4,7.4,4.1,10.1,34.37,997.58
11,4,0,14.3,60.7,1500,3,5.8,6.3,3.8,33.93,1004.92
8,2,0,23.7,31.7,3500,1,4.1,3.2,7.3,32.76,976.81
5,1,0,28.2,80.0,800,3,7.1,8.0,0.0,33.29,1002.38
7,4,0,32.9,45.1,1500,3,14.5,5.6,0.0,50.44,1533.36
10,2,0,23.8,66.5,5000,9,8.1,4.8,0.0,62.29,1888.12
3,2,0,8.9,54.6,1200,3,7.4,5.8,0.0,34.26,977.85
7,2,0,26.1,41.0,5000,8,10.0,4.6,4.1,63.7,1854.81
11,5,0,17.9,48.3,800,8,4.3,4.2,5.8,28.59,934.12
11,5,0,20.2,78.4,1800,3,9.3,6.3,0.9,38.86,1217.9
8,2,1,32.4,64.0,2800,6,7.7,7.7,2.6,54.87,1587.49
5,6,0,26.6,74.0,3500,8,7.9,6.4,0.0,55.73,1689.72
4,5,0,23.5,53.2,1500,8,10.9,4.0,8.8,44.47,1370.67
8,3,0,29.3,56.0,5000,9,7.8,4.7,0.0,66.99,2102.55
8,2,0,32.0,49.3,1800,9,13.0,8.2,0.0,61.38,1820.03
3,3,0,19.4,51.6,2200,8,6.3,7.0,4.7,42.06,1307.77
6,3,0,29.2,37.5,4500,7,8.3,4.0,10.1,58.39,1784.4
5,2,0,24.8,51.7,1500,3,5.4,4.2,8.8,27.38,790.42
2,1,0,15.4,48.0,4500,7,10.5,6.0,6.4,63.45,1888.0
8,6,0,31.1,57.8,800,4,8.0,5.2,3.4,34.26,993.99
12,2,0,16.3,62.0,4500,2,11.2,8.3,2.9,54.21,1642.53
6,2,0,30.6,53.5,4500,8,7.6,4.7,0.2,60.39,1742.16
2,5,0,21.1,77.6,2800,2,5.1,6.1,0.0,35.62,1058.79
12,2,0,16.3,59.5,2200,1,9.4,5.5,1.2,36.13,1067.81
5,1,0,23.1,59.8,5000,5,6.4,3.0,0.0,52.7,1489.04
1,5,0,18.0,83.9,2800,9,7.5,2.3,0.0,47.78,1447.28
12,0,1,8.9,75.7,800,5,7.0,4.9,0.0,36.26,1118.28
10,0,0,17.1,71.3,2800,2,7.4,5.8,0.1,35.64,1003.98
6,3,0,30.4,46.3,800,4,9.6,7.8,3.6,41.47,1244.22
12,6,0,17.4,62.8,2800,8,10.5,4.6,5.4,52.21,1504.38
9,3,0,20.4,39.2,1500,7,5.2,6.4,7.4,34.2,1031.5
1,1,0,12.3,65.3,2800,5,9.3,5.1,0.0,49.09,1525.31
11,4,0,15.3,62.6,2800,4,10.1,8.0,2.2,50.83,1502.05
11,6,0,15.8,59.6,800,5,7.6,5.4,0.0,34.05,1008.27
10,0,0,26.2,69.8,5000,7,9.7,5.0,1.0,65.29,2053.82
12,3,0,18.3,45.5,4500,5,11.8,5.8,0.0,59.59,1754.18
12,0,1,15.0,79.6,1200,8,7.9,6.1,0.0,46.5,1352.9
3,1,0,15.5,65.8,1200,7,10.3,7.8,4.2,44.63,1338.66
12,1,0,9.0,59.2,2200,7,10.6,5.7,1.7,53.78,1722.14
7,4,0,36.4,48.9,1200,9,12.3,6.5,1.4,54.34,1641.6
4,4,0,24.7,58.3,800,8,8.5,3.3,4.4,38.35,1120.9
9,5,0,22.8,73.3,1200,8,8.7,4.1,3.2,37.43,1149.71
3,6,0,21.2,56.2,2200,6,8.1,5.0,0.0,41.44,1276.73
5,1,0,25.7,52.4,3500,7,7.3,5.9,0.0,53.46,1631.1
3,3,0,16.7,55.2,2200,8,6.2,4.7,4.2,45.51,1400.52
7,0,1,32.0,72.1,800,5,10.2,5.9,0.0,44.43,1375.02
5,2,0,22.7,46.2,3500,2,3.6,4.4,0.0,38.08,1136.61
9,4,0,24.5,54.6,2800,7,8.3,8.2,8.2,51.11,1527.51
7,2,1,30.5,68.2,3500,3,10.3,5.0,0.0,52.57,1614.95
2,3,0,12.8,59.3,1200,8,8.1,6.4,0.0,41.66,1139.81
4,4,0,25.0,66.1,2200,6,7.3,5.3,0.0,44.17,1208.44
9,2,0,34.4,44.1,4500,4,11.8,5.3,6.8,61.36,1813.91
12,6,0,11.7,57.5,3500,2,10.3,6.0,5.0,46.55,1381.06
2,3,0,7.6,75.3,2800,7,11.9,5.9,0.0,57.87,1767.34
10,0,0,13.0,49.4,2800,1,10.0,4.3,12.3,39.68,1168.79
9,6,0,25.3,53.2,800,7,7.5,6.2,12.7,33.21,1049.04
10,3,0,19.0,60.6,800,7,6.6,5.5,1.7,35.3,1065.48
5,5,0,26.9,38.8,3500,3,8.6,6.2,4.0,48.85,1430.39
2,4,0,15.7,52.5,1500,4,10.5,7.1,0.2,41.79,1310.55
4,1,0,14.8,53.9,2800,4,8.4,6.9,0.6,46.63,1411.38
12,0,0,6.9,60.6,2200,4,12.8,3.8,5.9,50.43,1454.47
12,6,0,16.4,75.4,1500,9,3.3,1.4,0.0,34.57,1071.51
7,6,0,30.6,69.2,2800,6,9.5,9.0,1.6,53.87,1650.47
12,2,0,13.2,49.7,1500,9,8.5,6.7,4.8,49.19,1418.23
8,4,0,21.5,53.8,4500,4,2.8,6.0,3.7,44.91,1352.13
3,1,0,20.1,63.1,3500,7,3.2,4.6,3.7,41.31,1266.51
1,3,0,19.7,77.5,5000,9,7.3,2.8,0.0,62.15,1789.57
4,1,0,23.3,61.1,2200,3,6.9,2.3,1.7,30.65,967.0
2,4,0,11.3,61.0,800,3,10.5,4.8,7.2,35.48,1033.42
8,4,0,29.1,60.5,4500,6,3.2,5.8,0.0,52.62,1539.67
4,5,1,15.9,60.6,1200,8,9.7,8.3,1.0,44.62,1325.82
2,5,0,19.8,46.4,2800,1,8.5,5.5,0.6,40.85,1256.97
6,1,0,29.3,52.3,800,4,5.7,6.4,5.2,27.53,870.77
6,3,0,21.0,67.5,2800,8,8.8,5.0,0.0,51.45,1618.43
10,1,1,20.6,55.0,1800,6,9.7,4.9,1.9,46.37,1350.9
4,4,0,24.1,54.1,2200,2,4.3,3.0,3.1,22.9,703.51
6,4,0,27.4,47.1,3500,8,8.1,4.0,7.5,54.26,1658.49
2,2,0,13.8,29.7,2800,1,8.6,3.2,4.4,38.93,1189.71
10,5,0,16.5,57.7,800,1,3.8,4.6,11.6,17.81,490.22
12,2,0,17.6,63.6,5000,7,6.4,3.2,0.0,59.15,1786.05
2,0,0,12.2,51.4,2800,3,11.4,4.1,0.0,49.67,1504.57
10,4,1,12.3,43.6,2800,8,6.9,5.7,5.7,51.24,1508.93
4,2,1,20.3,41.9,5000,9,9.9,2.3,3.1,66.97,2030.85
8,1,1,33.3,61.7,2200,8,10.4,8.0,7.0,61.83,1864.29
7,5,0,28.3,74.3,2800,1,6.6,7.8,0.0,42.13,1203.03
12,5,0,22.9,76.6,2800,1,6.7,6.6,0.0,35.37,1089.6
9,3,0,27.9,38.9,3500,6,5.1,6.2,7.5,49.31,1484.45
8,1,0,30.5,62.8,5000,1,9.7,5.6,0.0,59.73,1706.8
5,3,0,25.4,42.7,2200,8,6.9,6.6,0.0,45.44,1349.71
2,2,0,14.8,50.5,2200,6,7.0,5.7,7.7,41.0,1235.56
5,6,0,24.8,45.1,1800,5,4.2,5.8,0.0,33.31,966.94
8,0,0,27.6,61.0,1800,6,7.8,3.1,4.0,41.31,1253.36
10,1,0,24.4,69.0,4500,4,7.4,5.6,0.0,52.41,1559.36
9,1,0,21.8,53.8,1200,1,3.5,5.8,0.0,19.38,627.54
12,1,0,10.2,59.0,4500,7,11.4,6.2,3.2,69.35,2092.7
12,3,0,10.0,65.6,1200,9,9.9,7.6,0.3,48.46,1539.47
12,2,0,24.3,66.8,800,4,5.3,7.6,0.0,29.47,819.21
9,1,0,28.4,69.1,5000,4,8.0,4.6,0.3,56.71,1715.69
1,6,0,15.4,43.9,4500,9,9.4,4.2,0.0,66.31,1990.05
9,1,0,21.2,55.2,2800,4,8.8,7.3,0.0,44.16,1343.73
7,5,0,32.8,37.9,1800,4,12.7,6.4,11.4,47.71,1490.19
9,0,0,25.5,54.4,1200,8,11.0,4.9,0.4,42.0,1195.53
8,5,0,29.9,49.8,4500,4,6.0,5.1,4.9,51.82,1581.96
1,5,0,9.6,58.8,1500,9,8.0,5.4,3.0,46.69,1415.86
12,0,1,15.8,50.4,1800,8,4.8,6.2,0.5,42.5,1234.06
8,6,0,27.0,34.7,2200,5,10.0,7.7,5.5,49.53,1539.39
8,2,1,25.5,27.4,1800,9,7.0,4.6,1.8,47.82,1437.33
11,5,0,21.3,57.8,4500,8,8.6,6.2,1.0,61.94,1824.77
3,2,0,11.1,49.8,5000,4,6.1,5.8,0.1,54.85,1664.79
1,5,1,16.5,51.2,800,4,6.0,2.4,10.1,29.34,923.21
8,4,0,32.0,68.4,1200,1,7.7,8.9,0.0,31.36,955.09
3,0,0,14.0,44.7,1800,4,10.6,5.7,5.1,39.76,1173.57
3,5,0,14.3,72.0,800,8,9.4,7.5,0.0,42.27,1232.36
1,4,0,13.0,78.8,2800,5,4.3,3.1,0.0,39.02,1133.98
11,3,1,19.3,35.9,2200,6,5.6,8.5,0.0,43.06,1327.57
5,4,0,25.3,51.8,3500,4,9.2,4.9,1.1,48.33,1492.34
10,1,0,24.0,52.7,2800,5,9.1,2.0,3.8,43.8,1302.68
7,5,0,37.9,20.0,1500,8,11.9,3.7,8.9,54.36,1735.87
10,4,0,19.7,40.2,2200,9,6.8,4.1,5.9,43.04,1280.48
9,2,0,18.3,64.3,1500,3,4.9,4.1,0.0,24.47,730.73
12,3,0,18.8,84.2,5000,4,8.8,3.5,0.0,55.05,1633.7
7,6,0,37.6,61.5,1200,1,8.6,6.3,0.0,34.99,1044.42
9,5,0,27.8,58.9,2800,5,4.8,5.8,3.3,38.92,1165.86
8,1,0,24.0,52.2,5000,4,7.3,6.2,7.1,54.82,1670.72
12,6,0,14.5,80.2,3500,6,7.1,6.2,0.0,49.63,1480.15
2,4,0,10.0,83.3,2200,6,10.7,5.2,0.0,49.98,1526.69
1,6,0,16.9,52.3,1200,6,8.2,3.3,0.0,36.49,1022.84
7,6,0,23.9,26.7,1200,3,10.3,3.0,3.6,33.69,982.62
7,3,0,28.6,25.5,1800,7,9.1,3.5,8.0,45.67,1355.69
8,6,1,24.4,68.4,1200,3,9.1,3.7,0.0,31.84,943.73
5,6,0,26.6,50.1,4500,6,6.0,8.1,0.0,57.19,1633.2
3,5,1,16.4,57.2,3500,1,8.8,2.9,0.0,45.43,1403.17
12,3,0,15.9,38.5,3500,8,7.0,8.0,6.1,51.23,1470.8
8,1,0,29.0,43.5,1500,7,7.4,4.1,0.0,41.04,1202.77
6,4,0,24.5,46.5,3500,9,5.2,3.9,0.0,51.48,1543.14
11,3,1,20.8,61.8,4500,3,9.1,5.9,3.3,52.29,1660.59
3,3,0,17.8,50.2,2200,8,6.9,7.7,2.6,44.73,1339.52
1,0,1,9.6,46.9,800,2,7.8,2.8,8.8,26.45,813.68
3,3,1,28.1,45.6,800,9,9.5,5.8,2.5,47.4,1355.22
5,0,0,28.1,65.2,1800,1,7.3,6.9,7.9,27.92,800.02
3,4,0,17.3,57.9,1200,7,5.5,7.1,0.0,34.75,1011.19
1,6,0,20.4,66.7,3500,1,12.0,2.8,3.5,43.09,1268.69
5,5,0,34.3,39.9,1500,6,7.6,5.3,0.7,44.76,1388.56
10,5,0,21.3,22.1,1800,1,9.8,2.7,5.0,27.74,807.51
7,4,0,31.6,44.4,5000,4,7.6,6.0,9.9,60.22,1833.98
7,4,0,25.6,40.3,1200,7,8.6,5.9,1.2,42.61,1243.62
11,2,0,17.3,63.5,4500,2,6.9,6.0,0.0,50.18,1492.82
9,6,0,25.1,94.4,800,3,8.7,3.9,0.0,29.4,774.05
10,4,0,22.8,65.8,1500,4,3.8,4.4,3.3,25.99,776.51
10,3,0,23.5,90.3,1800,6,3.7,7.1,0.0,33.9,1016.38
12,5,0,17.6,66.8,2800,9,8.6,7.4,3.9,54.75,1633.77
3,1,0,19.1,47.4,800,4,3.0,7.9,3.5,22.67,768.54
7,5,0,24.6,54.8,4500,6,4.7,7.7,1.8,52.32,1566.67
1,0,0,9.8,80.7,1200,7,9.2,3.2,0.0,41.65,1126.99
4,5,0,19.5,74.5,2200,4,3.9,7.2,2.1,33.39,946.82
4,2,0,20.7,45.6,2800,6,3.8,5.5,2.0,36.15,1082.56
5,6,0,30.7,53.7,4500,3,8.1,6.4,0.0,54.31,1625.72
7,4,0,24.8,33.5,1500,5,2.8,5.0,7.4,29.83,858.32
7,6,1,28.4,60.6,5000,4,5.4,4.0,0.0,53.86,1569.84
11,4,0,22.3,78.0,2200,7,9.1,5.3,4.2,48.04,1503.56
4,5,0,20.7,53.0,4500,6,8.0,5.7,5.0,54.11,1667.84
7,1,0,32.1,42.7,1800,7,13.9,6.1,4.8,53.47,1654.73
11,1,0,17.4,63.7,5000,6,8.3,7.1,5.0,63.07,1863.83
3,2,0,19.2,60.0,4500,2,9.1,3.6,0.0,52.18,1596.91
6,0,0,27.9,51.0,2200,7,7.2,4.0,4.0,42.71,1165.77
12,5,0,18.1,62.1,1500,8,6.5,3.4,0.0,39.84,1176.5
2,4,0,8.1,55.4,800,7,10.7,5.4,0.1,45.16,1329.99
10,5,0,20.4,69.5,2200,4,2.4,4.1,0.0,28.31,837.99
9,2,0,27.3,63.8,2200,4,9.0,4.9,3.7,42.45,1278.69
5,3,1,28.4,38.9,1800,5,7.0,5.5,0.0,42.04,1253.5
6,3,0,35.6,37.9,4500,9,9.5,3.2,6.3,67.41,1971.56
12,2,0,13.3,56.9,1500,5,10.3,4.7,0.0,42.02,1227.1
12,4,0,21.7,68.8,5000,2,3.1,5.7,0.0,43.29,1322.02
12,6,0,12.1,61.8,1500,5,8.8,5.6,0.0,39.56,1202.76
12,2,0,21.1,52.3,1800,3,6.9,4.7,8.0,28.25,919.18
4,4,0,25.7,55.6,2800,8,6.3,5.7,0.0,45.61,1382.36
11,1,0,13.9,55.4,5000,2,8.2,4.8,1.1,53.55,1673.46
10,2,0,23.4,68.1,1200,4,6.9,3.9,0.0,29.11,808.16
7,4,0,29.8,54.7,1200,5,10.4,3.8,3.1,37.37,1147.68
12,2,0,17.9,56.2,1200,4,6.6,9.4,0.0,32.75,1016.59
9,2,0,25.0,57.8,2200,5,4.7,6.4,0.0,36.69,1122.52
7,6,0,28.6,66.5,2800,4,7.1,7.0,0.0,44.55,1282.47
1,6,0,20.2,52.5,1500,3,5.5,6.2,0.4,31.25,951.79
1,4,0,13.6,64.2,1500,1,6.6,7.2,0.0,29.62,872.35
9,4,0,29.7,54.2,1200,4,9.0,6.3,5.7,40.32,1235.63
11,0,0,17.0,64.5,2800,9,7.5,2.7,5.2,46.52,1391.69
9,2,0,33.5,47.1,800,1,9.9,3.8,8.6,31.22,911.0
4,3,0,18.9,53.8,5000,7,4.8,6.1,5.8,53.12,1696.27
9,2,0,23.2,68.3,1800,3,6.9,5.6,6.6,35.42,1029.15
3,2,0,24.9,43.8,1200,8,9.7,6.0,5.1,45.99,1392.27
7,4,1,28.0,34.7,2800,6,8.7,3.9,6.9,50.9,1551.83
6,2,0,36.1,34.5,2200,1,12.7,4.3,12.4,47.69,1417.5
8,5,0,32.9,38.5,1500,5,9.8,5.9,0.0,46.56,1448.06
11,2,0,17.3,66.5,1500,8,5.8,5.9,2.5,39.44,1222.04
9,5,0,17.8,38.1,2200,3,8.7,6.5,4.2,36.11,1007.4
5,6,0,25.9,47.1,1800,4,4.7,3.8,7.9,25.66,797.65
1,3,0,14.5,66.7,2200,7,6.8,6.4,3.4,41.86,1335.58
3,4,1,23.3,60.0,1200,6,6.4,4.7,0.0,33.2,961.71
10,2,1,29.1,52.9,800,7,9.7,5.2,0.0,42.68,1218.42
12,5,0,12.0,62.3,2200,9,11.2,5.8,4.9,57.3,1705.4
8,5,0,32.5,53.8,800,9,11.1,3.3,0.0,45.83,1373.45
11,6,1,21.4,56.6,1500,2,7.6,5.4,1.2,31.46,945.22
6,5,0,33.8,47.5,4500,3,11.6,7.2,0.0,63.97,1966.22
8,1,0,31.2,79.3,4500,4,11.1,3.6,0.0,60.78,1792.17
9,0,0,17.3,64.7,5000,6,4.8,8.4,3.1,55.32,1683.49
4,3,0,21.3,82.3,800,5,10.5,4.5,0.0,37.67,1164.78
1,6,0,8.8,53.4,1800,6,11.9,6.5,0.0,51.84,1559.81
1,6,0,13.1,58.3,2800,8,8.0,3.8,0.0,51.04,1503.12
10,2,0,26.4,41.5,3500,2,8.4,8.4,6.5,51.51,1493.25
4,1,0,23.4,42.8,2200,6,4.1,4.0,1.8,38.43,1083.78
12,2,0,20.2,82.8,3500,9,5.7,6.2,0.0,52.0,1493.85
7,2,0,31.5,44.4,4500,5,8.5,4.7,2.6,59.61,1715.87
2,4,0,9.2,80.5,2800,1,8.7,5.0,0.0,40.41,1280.91
3,4,0,6.7,40.1,1800,8,11.9,6.0,6.5,50.73,1513.75
1,4,0,14.7,46.7,800,4,8.1,4.9,0.0,33.14,1086.12
5,1,1,25.0,46.6,2200,8,4.8,4.8,3.3,41.42,1259.18
1,2,1,9.6,58.6,1800,4,7.1,5.3,1.9,41.7,1181.86
